,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
46,0.12043867111206055,0.00833168779066046,0.0060028076171875,3.8315163811730654e-05,0.01,0.01,3,200,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",-0.06663242074476194,0.06251931242167696,-0.35307461788659933,-0.3519993308984406,-0.12507341413843975,-0.16685209424931294,0.1633150396112017,1,-49.881798650476284,-45.935754792866575,-60.15176738615557,-54.69754680526732,-46.101877744258374,-51.35374907580483,5.434879244887073,1
82,0.13297533988952637,0.0029992185892326138,0.006795167922973633,0.0004062446065139772,0.1,0.01,3,200,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",-0.06663242074476194,0.06251931242167696,-0.35307461788659933,-0.3519993308984406,-0.12507341413843975,-0.16685209424931294,0.1633150396112017,1,-49.881798650476284,-45.935754792866575,-60.15176738615557,-54.69754680526732,-46.101877744258374,-51.35374907580483,5.434879244887073,1
10,0.10075082778930664,0.001325384613584666,0.005217361450195313,0.00041670936484284953,0,0.01,3,200,"{'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200}",-0.06663242074476194,0.06251931242167696,-0.35307461788659933,-0.3519993308984406,-0.12507341413843975,-0.16685209424931294,0.1633150396112017,1,-49.881798650476284,-45.935754792866575,-60.15176738615557,-54.69754680526732,-46.101877744258374,-51.35374907580483,5.434879244887073,1
83,0.28283987045288084,0.0035287216769486402,0.004987001419067383,5.43678009557313e-07,0.1,0.01,3,500,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",-0.10097672681223524,-0.05993416732586421,-0.24715632367647244,-0.39101090720400156,-0.11235851126902219,-0.18228732725751912,0.12185669314212053,4,-50.678503764577684,-48.84376554738936,-57.74946501097745,-55.48107635220429,-45.840629686435086,-51.71868807231677,4.345677607893896,4
11,0.23907127380371093,0.002626309082606708,0.004013776779174805,2.9896967330063588e-05,0,0.01,3,500,"{'gamma': 0, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",-0.10097672681223524,-0.05993416732586421,-0.2471711273290862,-0.39101090720400156,-0.11235851126902219,-0.18229028798804187,0.1218582693863325,5,-50.678503764577684,-48.84376554738936,-57.74980775088325,-55.48107635220429,-45.840629686435086,-51.71875662029794,4.345772737467257,5
47,0.28452420234680176,0.003039682245996158,0.005454111099243164,0.0005004925471435153,0.01,0.01,3,500,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500}",-0.10097672681223524,-0.05993416732586421,-0.2471711273290862,-0.39101090720400156,-0.11235851126902219,-0.18229028798804187,0.1218582693863325,5,-50.678503764577684,-48.84376554738936,-57.74980775088325,-55.48107635220429,-45.840629686435086,-51.71875662029794,4.345772737467257,5
85,0.19977340698242188,0.003588173262920752,0.005193376541137695,0.0003709408352766869,0.1,0.01,6,200,"{'gamma': 0.1, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200}",-0.15307598994020166,0.028308546223089648,-0.5025455686106626,-0.5280103195400483,-0.2100125854311401,-0.2730671834597926,0.21300583615600177,7,-51.86372185430002,-46.76639391913267,-63.38716739287925,-58.149067403749,-47.81048257810684,-53.59536662963355,6.3200300367259725,7
13,0.15989294052124023,0.0028404639693262504,0.005386257171630859,0.0004908896602118131,0,0.01,6,200,"{'gamma': 0, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200}",-0.15307598994020166,0.028308546223089648,-0.5025455686106626,-0.5280103195400483,-0.2100125854311401,-0.2730671834597926,0.21300583615600177,7,-51.86372185430002,-46.76639391913267,-63.38716739287925,-58.149067403749,-47.81048257810684,-53.59536662963355,6.3200300367259725,7
49,0.19738540649414063,0.0030651636147025394,0.005425930023193359,0.0005176531319753325,0.01,0.01,6,200,"{'gamma': 0.01, 'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 200}",-0.15307598994020166,0.028308546223089648,-0.5025455686106626,-0.5280103195400483,-0.2100125854311401,-0.2730671834597926,0.21300583615600177,7,-51.86372185430002,-46.76639391913267,-63.38716739287925,-58.149067403749,-47.81048257810684,-53.59536662963355,6.3200300367259725,7
18,0.05477519035339355,0.0011615821723860993,0.005396461486816407,0.0004803640965002808,0,0.1,3,100,"{'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",-0.1424333766761856,-0.16213576471970326,-0.4058019998939082,-0.5434712156978156,-0.27025518581216135,-0.3048195085599548,0.15170675651880788,10,-51.62382219551647,-51.144404390709575,-61.312580810645876,-58.44251239214046,-48.986191039916015,-54.30190216578568,4.726371915297289,10
